title,genre,director,country,year,wiki_url
Водопроводчик (фильм),триллер,Питер Уир,Австралия,1979,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B4%D0%BE%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%D1%87%D0%B8%D0%BA_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
Возвращение в Зурбаган,драма; мелодрама,Олег Гойда,СССР,,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B7%D0%B2%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5_%D0%B2_%D0%97%D1%83%D1%80%D0%B1%D0%B0%D0%B3%D0%B0%D0%BD
Возвращение Будулая,мелодрама,Александр Бланк,СССР,1985,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B7%D0%B2%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5_%D0%91%D1%83%D0%B4%D1%83%D0%BB%D0%B0%D1%8F
Возвращение капитана Немо,экранизация романа; [вд]; научно-фантастический фильм,Алекс Марч; Пол Стадер,США,1978,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B7%D0%B2%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BA%D0%B0%D0%BF%D0%B8%D1%82%D0%B0%D0%BD%D0%B0_%D0%9D%D0%B5%D0%BC%D0%BE
Возвращение титанов,ужасы; боевик; фантастика,Мэри Ламберт,США,2011,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B7%D0%B2%D1%80%D0%B0%D1%89%D0%B5%D0%BD%D0%B8%D0%B5_%D1%82%D0%B8%D1%82%D0%B0%D0%BD%D0%BE%D0%B2
Войны в женской общаге,комедия; драма,Джеймс Хэйман,США,2009,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B9%D0%BD%D1%8B_%D0%B2_%D0%B6%D0%B5%D0%BD%D1%81%D0%BA%D0%BE%D0%B9_%D0%BE%D0%B1%D1%89%D0%B0%D0%B3%D0%B5
Война одного человека,драма,Серджо Толедо,Великобритания,1991,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B9%D0%BD%D0%B0_%D0%BE%D0%B4%D0%BD%D0%BE%D0%B3%D0%BE_%D1%87%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA%D0%B0
Война на западном направлении,военный фильм,Тимофей Левчук; Григорий Кохан,СССР,1990,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B9%D0%BD%D0%B0_%D0%BD%D0%B0_%D0%B7%D0%B0%D0%BF%D0%B0%D0%B4%D0%BD%D0%BE%D0%BC_%D0%BD%D0%B0%D0%BF%D1%80%D0%B0%D0%B2%D0%BB%D0%B5%D0%BD%D0%B8%D0%B8
Вокруг света за 80 дней (мини-сериал),приключенческий фильм,Базз Кьюлик,США; Италия; Югославия,1989,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%BA%D1%80%D1%83%D0%B3_%D1%81%D0%B2%D0%B5%D1%82%D0%B0_%D0%B7%D0%B0_80_%D0%B4%D0%BD%D0%B5%D0%B9_(%D0%BC%D0%B8%D0%BD%D0%B8-%D1%81%D0%B5%D1%80%D0%B8%D0%B0%D0%BB)
Вой Банши,фильм ужасов,Стивен С. Миллер,США,2011,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B9_%D0%91%D0%B0%D0%BD%D1%88%D0%B8
"Виртуоз (фильм, 2002)",боевик; драма; триллер; криминальный фильм,Жан Пьер Ру,США; Великобритания; Германия; Испания,2002,"https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D1%80%D1%82%D1%83%D0%BE%D0%B7_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2002)"
Виртуальный кошмар,,Майкл Паттинсон,США,2000,https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D1%80%D1%82%D1%83%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9_%D0%BA%D0%BE%D1%88%D0%BC%D0%B0%D1%80
Виртуальное соблазнение,фантастика,Пол Зиллер,США,1995,https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D1%80%D1%82%D1%83%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B5_%D1%81%D0%BE%D0%B1%D0%BB%D0%B0%D0%B7%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5
Ангелы падают,триллер; драма; мелодрама,Ральф Хемекер,США,2007,https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B3%D0%B5%D0%BB%D1%8B_%D0%BF%D0%B0%D0%B4%D0%B0%D1%8E%D1%82
Анатомия протеста,документальное кино,"Сергей Кисляков, Дмитрий Ларченко, Юрий Устинов",Россия,2012,https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BC%D0%B8%D1%8F_%D0%BF%D1%80%D0%BE%D1%82%D0%B5%D1%81%D1%82%D0%B0
Америкэн бой,детективный фильм; боевик; триллер,Борис Квашнёв,РСФСР; Россия,1992,https://ru.wikipedia.org/wiki/%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D1%8D%D0%BD_%D0%B1%D0%BE%D0%B9
Американское преступление (фильм),драма; детектив,Томми О’Хейвер,США,2007,https://ru.wikipedia.org/wiki/%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0%D0%BD%D1%81%D0%BA%D0%BE%D0%B5_%D0%BF%D1%80%D0%B5%D1%81%D1%82%D1%83%D0%BF%D0%BB%D0%B5%D0%BD%D0%B8%D0%B5_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)
"Американская трагедия (фильм, 2000)",судебная драма,Лоуренс Шиллер; [англ.],США,,"https://ru.wikipedia.org/wiki/%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B0%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D1%82%D1%80%D0%B0%D0%B3%D0%B5%D0%B4%D0%B8%D1%8F_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2000)"
